1 Area,2 Subfield,3 Topic Group,4 Topic,5 Subtopic,5.1 SubSubTopic,6 Description GPT5,6.1 Description Gemini
,,,Aristotle,,,"Aristotle: system-builder of hylomorphism and the four causes, founder of formal logic, and author of teleological ethics and political theory (Nicomachean Ethics, Politics).","A student of Plato, Aristotle was a towering figure whose work defined numerous fields. He founded syllogistic logic, developed a metaphysics of substance, form, and matter, and formulated a virtue ethics based on the ""Golden Mean."" His philosophy is grounded in empirical observation."
,,,Plato,,,"Plato: theorist of Forms, dialectic, and the tripartite soul, uniting metaphysics, epistemology, and political philosophy (Republic, Phaedo).","A student of Socrates, Plato is a central figure in Western philosophy. His work is known for the Theory of Forms (the idea that the physical world is a shadow of a higher, eternal reality), the allegory of the cave, and his political philosophy in The Republic."
,,,Socrates,,,"Socrates: practitioner of the elenchus and ethical intellectualism, champion of the “examined life” and the primacy of virtue over wealth or power.","The teacher of Plato, Socrates is famous for the Socratic method (elenchus), a form of inquiry based on asking and answering questions to stimulate critical thinking and expose contradictions. He famously claimed that ""the unexamined life is not worth living."""
,,Hellenistic Philosophy,,,,"Schools after Alexander that treat philosophy as therapy—Stoicism, Epicureanism, Skepticism—aiming at ataraxia and rational agency.","The period of philosophy from the death of Alexander the Great (323 BCE) to the rise of the Roman Empire. The focus of philosophy shifted from metaphysics to ethics, with the central goal being the achievement of personal tranquility (ataraxia)."
,,,Stoics,,,Stoics: cosmos ordered by logos and fate; only virtue is good; ethics of apathy (proper affect) and cosmopolitan duty.,"A school of Hellenistic philosophy founded by Zeno of Citium. The Stoics taught that virtue is the only good and that one should live in accordance with nature and reason (logos), remaining indifferent to external events beyond one's control."
,,,Epicureans,,,"Epicureans: atomism, pleasure as aponia/ataraxia, valuation of friendship, and arguments to dispel fear of gods and death.","A school of Hellenistic philosophy founded by Epicurus. It advocated for a form of hedonism, where the goal of life is pleasure, but defined pleasure as the absence of pain and mental disturbance (ataraxia)."
,,,Neoplatonists,,,"Neoplatonists: emanation from the One → Intellect → Soul, metaphysical hierarchy and mystical ascent (Plotinus).","The final school of Greek philosophy, most associated with Plotinus. It reinterpreted Plato's philosophy, positing that all of reality emanates from a single, transcendent principle called ""the One."""
,,,Academic Skeptics,,,Academic Skeptics: withhold assent via probabilism; challenge dogmatism while guiding action by the plausible.,"A school of Hellenistic skepticism, associated with Plato's Academy, that argued that certain knowledge is impossible and that one should doubt all claims."
,,,Pyrrhonists,,,Pyrrhonists: achieve ataraxia through epoché (suspending judgment) by balancing equipollent arguments.,A more radical school of skepticism founded by Pyrrho of Elis. Pyrrhonists advocated for the suspension of judgment (epoché) on all non-evident matters to achieve a state of mental tranquility.
,,Pre-Socratic Philosophy,,,,"Pre-classical inquiries into cosmos and change, seeking archê (first principle) and naturalistic explanations for order.","The earliest period of Greek philosophy, before Socrates. These thinkers were primarily concerned with cosmology and identifying the fundamental substance or principle (archē) of the universe."
,,,Milesians,,,"Milesians (Thales, Anaximander, Anaximenes): material archê (water/apeiron/air) and rational cosmology.","The first group of Pre-Socratic philosophers from the city of Miletus, including Thales (who proposed water as the archē), Anaximander (apeiron, the boundless), and Anaximenes (air)."
,,,Pythagoreans,,,"Pythagoreans: number as the essence of things; harmony and mathematical structure in nature, plus transmigration of souls.","A school of thought founded by Pythagoras, which held that the fundamental reality of the universe is mathematical and that all things can be understood through numerical relationships."
,,,Eleatics,,,"Eleatics (Parmenides, Zeno): Being is one and unchanging; paradoxes against motion and plurality.","A school of Pre-Socratic philosophy, including Parmenides and Zeno of Elea. They argued through logical deduction that reality is a single, unchanging, and indivisible whole, and that all change and motion are illusions."
,,,Pluralists,,,"Pluralists (Empedocles, Anaxagoras): world from mixture of roots or seeds governed by Love/Strife or Nous.","Pre-Socratic philosophers, such as Empedocles and Anaxagoras, who argued that reality is composed of multiple fundamental substances."
,,,Atomists,,,"Atomists (Leucippus, Democritus): reality as atoms and void; mechanistic causation and emergent qualities.","Pre-Socratic philosophers, most notably Leucippus and Democritus, who proposed that the universe is composed of indivisible, indestructible particles called atoms moving in an infinite void."
,,,Sophists,,,"Sophists: itinerant rhetoricians teaching civic skill; provocations about relativism, nomos vs physis, and the power of logos.","Itinerant teachers in ancient Greece who offered instruction in rhetoric and argumentation for a fee. Protagoras, a leading Sophist, famously claimed, ""Man is the measure of all things."""
,Medieval and Renaissance Philosophy,,,,,Medieval synthesis of Greek philosophy with Abrahamic theology via scholastic method; Renaissance humanism revives philology and civic virtue.,The period of philosophy between the fall of the Roman Empire and the beginning of the modern era. It is characterized by the attempt to synthesize Greek philosophy (particularly the works of Plato and Aristotle) with the doctrines of Christian theology.
,,Pre-1000 Medieval Philosophy,,,,"Early medieval (patristic to Carolingian): problems of divine attributes, illumination, universals, and classical transmission.","The earliest period of medieval philosophy, dominated by the effort to reconcile Christian faith with classical learning."
,,,Augustine,,,"Augustine: Christian Platonism; illumination epistemology, analysis of time and will, and the two cities.","A pivotal figure who integrated Platonic philosophy with Christian doctrine. His work addresses the problem of evil, divine illumination, original sin, and the nature of time."
,,,Boethius,,,"Boethius: conduit of Aristotle to the Latin West; logic and universals, and a theodicy of providence (Consolation of Philosophy).","A Roman senator who served as a crucial bridge between the ancient and medieval periods. His work, The Consolation of Philosophy, was a highly influential text throughout the Middle Ages."
,,11th/12th Century,,,,"Rise of schools and translation movement; debates on faith–reason, realism–nominalism, and logical method.","The period that saw the rise of Scholasticism, a method of learning that emphasizes dialectical reasoning to resolve contradictions and extend knowledge."
,,,Abelard,,,"Abelard: conceptualism, dialectical sic et non, and an intention-based ethics.","A French scholastic philosopher, theologian, and logician, famous for his affair with Héloïse and his work on the problem of universals, where he developed a position known as conceptualism."
,,,Anselm,,,"Anselm: ontological argument, “faith seeking understanding,” and analysis of divine necessity.","A Benedictine monk and philosopher best known for formulating the ontological argument for the existence of God, which argues that God's existence follows from the very concept of God."
,,,Roger Bacon,,,Roger Bacon: advocacy of experiment and mathematics in natural philosophy; optics and empirical method.,An English philosopher who was an early proponent of the scientific method and empirical inquiry.
,,13th/14th Century,,,,"High scholasticism; full reception of Aristotle, university disputation, and technical logic.","The peak of the Scholastic period, which saw the founding of universities and the full recovery of Aristotle's works in the West."
,,,Aquinas,,,"Aquinas: synthesis of Aristotle with Christian theology; Five Ways, hylomorphism, natural law.","The most influential philosopher of the Scholastic period. Aquinas masterfully synthesized Aristotelian philosophy with Christian theology in his Summa Theologica. His ""Five Ways"" are classic arguments for the existence of God."
